id,brand,gear,model,price,fuel,mileage,hp,type,geo,model_year
100004,Volvo,Automat,S80,54000,Diesel,25 956,184,Sedan,,2007
100005,Volvo,Automat,S60,169900,Diesel,9 815,214,Sedan,,2012
100006,Peugeot,Manuell,206,19500,Bensin,14 500,108,Kombi,,2006
100007,Volvo,Manuell,V70,44900,Bensin,23 000,209,Kombi,,2005
100008,BMW,Automat,120,363000,Diesel,0,190,Halvkombi,,2019
100009,Volkswagen,Manuell,PASSAT,14500,Bensin,19 500 - 19 999,149,Kombi,Karlstad,2002
100010,Volkswagen,Manuell,TRANSPORTER,160000,Diesel,9 000 - 9 499,140,Yrkesfordon,Katrineholm,2015
100011,BMW,Automat,ACTIVEHYBRID 7,328000,Bensin,8 000 - 8 499,448,Sedan,Avesta,2011
100012,Mercedes-Benz,Manuell,E350,749900,Bensin,4,258,Sedan,Helsingborg,2018
100013,Toyota,Manuell,AVENSIS,96000,Diesel,12 900,126,Kombi,Gotland,2011
100014,Volkswagen,Manuell,BORA,9900,Bensin,19 000,100,Sedan,,2001
100015,Volkswagen,Automat,CARAVELLE,72000,Bensin,24 500 - 24 999,235,Yrkesfordon,Ekerö,2009
100016,Opel,Manuell,Combo,29000,Diesel,15 000,74,Yrkesfordon,Vaggeryd,2009
100017,Toyota,Manuell,PROACE,243625,Diesel,20,115,Yrkesfordon,,2018
100018,Renault,Automat,MEGANE,209900,Bensin,1 690,205,Halvkombi,Kalmar,2016
100019,BMW,Automat,120,284800,Bensin,0,183,Halvkombi,,2019
100020,Opel,Manuell,Zafira,104900,Diesel,11 200,130,Familjebuss,,2012
100021,Mercedes-Benz,Automat,V-KLASSE,411250,Diesel,4 690,190,-,,2017
100022,Hyundai,Automat,SANTA FE,79900,Diesel,11 840,155,Kombi,Värnamo,2008
100023,BMW,Automat,I3,442500,El,100,183,Halvkombi,,2018
100024,Opel,Manuell,Combo,39000,Diesel,12 500,74,Yrkesfordon,Vaggeryd,2011
100025,Mercedes-Benz,Automat,CLK320,74500,Bensin,13 412,217,Cab,,2001
100026,Peugeot,Automat,2008,220860,Bensin,1,110,SUV,,2018
100027,Volkswagen,Manuell,TRANSPORTER,125000,Diesel,12 400,102,Yrkesfordon,,2012
100028,BMW,Automat,120,307200,Diesel,0,190,Halvkombi,,2019
100029,Mitsubishi,Automat,OUTLANDER,475300,Miljöbränsle/Hybrid,1,134,SUV,,2018
100030,Nissan,Automat,NAVARA,349875,Diesel,1,190,Yrkesfordon,Helsingborg,2018
100031,BMW,Automat,318,274900,Diesel,1 536,149,Kombi,,2018
100032,Ford,Manuell,TRANSIT,54000,Diesel,17 000 - 17 499,85,Yrkesfordon,Helsingborg,2008
100033,Opel,Manuell,Vivaro,49000,Diesel,17 000 - 17 499,89,Yrkesfordon,Hässleholm,2008
100034,BMW,Automat,X5,689900,Miljöbränsle/Hybrid,1 125,244,SUV,,2017
100035,Kia,Manuell,RIO,174800,Bensin,0,119,Halvkombi,,2018
100036,Toyota,Manuell,AURIS,129000,Diesel,6 687,89,Kombi,,2014
100037,Volvo,Automat,XC60,295000,Diesel,4 200,190,Sedan,,2016
